Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146807,334426306,G,16.8438,4.3466,-3.18312,15.9586,5.3875,1.80641,-0.632092,-1,T,3.00746,0.214225,-1.3828,2.66,1.39929,1.39845,-1.4171,-1,2.40227
146807,334489650,G,14.3572,-7.74353,-11.701,-3.04028,14.0312,-0.215019,-2.15541,-1,T,3.74999,2.60727,-2.58014,-0.772192,3.6681,-0.208991,-0.780168,-1,9.11068
146807,334637570,G,44.1424,2.29279,-9.0449,-43.1448,9.33098,-2.23586,-1.32254,-1,T,4.2956,1.84264,-0.583468,-3.83474,1.93281,-1.43647,-0.306659,1,5.41809
146807,334799506,G,9.25218,2.44637,-2.46213,8.57584,3.47085,1.63634,-0.78861,1,G,9.61566,-3.00026,6.58937,6.3268,7.24026,0.789292,1.99806,-1,10.7966
146807,335040442,G,10.8115,8.89678,-5.79651,-2.03099,10.6185,-0.190121,-0.577449,1,G,13.141,-4.64357,8.12508,-9.22476,9.3584,-0.87124,2.09,1,20.5796
146807,335084042,G,8.08525,1.69927,7.36965,2.85673,7.56302,0.369274,1.34418,1,T,5.34442,2.56394,1.89667,-4.28725,3.18923,-1.10517,0.636908,1,8.61801
146807,334305155,G,10.5344,-9.02202,-4.32898,-3.2902,10.0068,-0.323142,-2.69422,-1,T,8.06293,1.11031,2.23625,-7.6659,2.49672,-1.84048,1.10995,1,12.6036
146807,334676787,G,35.0733,-4.53392,8.59658,33.6997,9.71894,1.95673,2.05613,1,T,5.17456,0.770926,1.19151,4.97502,1.41917,1.96726,0.996523,-1,3.76716
146807,334751395,G,56.4412,0.017792,11.948,-55.162,11.948,-2.23438,1.56931,-1,T,15.6963,0.791668,4.03045,-15.149,4.10747,-2.01617,1.37684,-1,2.05524
146807,334768915,G,53.1047,11.1073,16.324,-49.2976,19.7445,-1.64603,0.973329,1,T,7.7842,2.16033,0.558692,-7.45677,2.23141,-1.92131,0.253069,-1,5.03436
146807,335022211,G,11.9172,0.122519,-9.65544,-6.98326,9.65622,-0.671559,-1.55811,1,T,3.81264,-0.274212,0.94741,3.68134,0.986296,2.0277,1.85253,1,12.6757
146807,335065955,G,5.95512,-3.05145,-3.69342,-3.53547,4.7909,-0.683483,-2.2613,-1,G,29.7356,-26.0417,-2.82871,-14.0722,26.1948,-0.514246,-3.03339,-1,8.65171
146807,335096203,G,33.7192,-8.5984,4.49061,32.2936,9.70042,1.91768,2.6603,-1,T,3.55412,-0.876636,-0.513696,3.40415,1.01606,1.92377,-2.61154,1,3.06275
146807,334451740,G,27.1413,-9.69028,1.37243,25.3151,9.78699,1.67892,3.0009,-1,T,8.75653,-3.06015,1.73356,8.01847,3.51707,1.56222,2.62617,-1,2.30369
146807,334613052,G,44.1667,2.16237,-8.44768,-43.2972,8.72005,-2.3056,-1.3202,-1,G,17.1975,2.94814,5.1806,-16.1311,5.96072,-1.72121,1.05343,1,14.0375
146807,334649228,G,17.3245,2.99013,2.13447,16.9302,3.67381,2.23259,0.619954,-1,T,2.79036,-0.313585,0.759872,2.66444,0.822035,1.8921,1.96219,1,2.26239
146807,334787028,G,11.3821,-10.3017,2.27642,-4.27006,10.5502,-0.39443,2.92411,1,T,4.97392,-1.12058,3.70876,-3.1174,3.87435,-0.736275,1.86422,-1,6.83033
146807,334866148,G,16.85,-2.61957,-2.68499,-16.4268,3.75118,-2.18278,-2.34386,-1,T,4.4937,1.87792,0.015183,-4.0811,1.87798,-1.51849,0.00808484,-1,5.22507
146807,334912100,G,5.54474,-2.05224,4.91273,-1.54478,5.32416,-0.286222,1.9665,-1,G,4.3363,0.805526,-3.65605,-2.18558,3.74374,-0.554879,-1.35393,1,8.97697
146807,334932972,G,9.70863,6.87077,-6.85826,-0.0555129,9.70789,-0.0057183,-0.784487,-1,G,5.17594,-2.59622,3.48279,2.81229,4.34399,0.609042,2.21137,-1,13.5752
146807,335196668,G,10.9116,1.49919,3.9138,-10.0741,4.19111,-1.61085,1.20498,1,G,5.32544,-1.14378,-3.6048,3.74785,3.7819,0.874994,-1.87804,-1,14.9466
146807,335236797,G,8.22968,-1.79621,0.736906,-7.99669,1.9415,-2.12314,2.75228,1,T,80.7967,-11.2437,11.735,-79.1452,16.2521,-2.28659,2.33482,-1,2.52931
146807,335266501,G,7.64379,1.86676,3.62803,-6.46289,4.08013,-1.24047,1.09559,1,G,5.99129,0.668583,4.57806,-3.8051,4.62662,-0.750092,1.42578,-1,2.59151
146807,335333653,G,6.67422,-4.76425,-0.314161,-4.66233,4.77459,-0.864649,-3.07575,-1,G,6.02435,-3.45914,2.52261,-4.23702,4.28127,-0.874047,2.5115,1,3.09092
146807,335486797,G,14.3984,2.2989,4.51798,13.4761,5.06923,1.70451,1.10011,-1,G,4.68227,1.65532,-3.65432,-2.41211,4.01175,-0.569907,-1.14547,-1,15.0092
146807,335490053,G,11.123,-2.83815,2.18718,10.5296,3.58314,1.79886,2.48501,1,T,8.54365,0.140742,2.95231,8.01541,2.95566,1.72317,1.52316,-1,3.02847
146807,335520205,G,17.0862,-7.91047,2.40375,-14.9524,8.26762,-1.35458,2.84659,-1,G,14.6416,-3.32505,3.92398,13.7081,5.1433,1.70691,2.27376,1,28.9625
146807,335537773,G,7.13518,3.91327,1.09001,5.86496,4.06224,1.16316,0.271655,-1,G,12.2341,9.83692,5.11492,5.17049,11.0873,0.450909,0.479497,1,5.08112
